DATE;Location;GEOGRAPHY_CODE;Gender;Age Group;Claimant Count;Claimant Rate (% of population);partlookup;lookup;Population;partdem;demographic_category
2020-06-01;England;E92000001;Total;Aged 16-24;434215;7.249927870551684;EnglandTotal;EnglandTotalAged 16-24;5989232;England Total;England Total Aged 16-24
2020-06-01;England;E92000001;Total;Aged 55-59;164740;4.328009186707858;EnglandTotal;EnglandTotalAged 55-59;3806369;England Total;England Total Aged 55-59
2020-06-01;England;E92000001;Male;All categories: Age 16+;1322445;7.545437547738645;EnglandMale;EnglandMaleAll categories: Age 16+;17526419;England Male;England Male All categories: Age 16+
2020-06-01;England;E92000001;Male;Aged 16-24;266930;8.80056127357405;EnglandMale;EnglandMaleAged 16-24;3033102;England Male;England Male Aged 16-24
2020-06-01;England;E92000001;Male;Aged 25-29;197000;10.836626035736662;EnglandMale;EnglandMaleAged 25-29;1817909;England Male;England Male Aged 25-29
2020-06-01;England;E92000001;Male;Aged 35-39;149220;8.101395023087509;EnglandMale;EnglandMaleAged 35-39;1841905;England Male;England Male Aged 35-39
2020-06-01;England;E92000001;Male;Aged 40-44;121555;6.9313965376945825;EnglandMale;EnglandMaleAged 40-44;1753687;England Male;England Male Aged 40-44
2020-06-01;England;E92000001;Female;Aged 35-39;98575;5.046109901023044;EnglandFemale;EnglandFemaleAged 35-39;1953485;England Female;England Female Aged 35-39
2020-06-01;England;E92000001;Female;Aged 50-54;79955;4.028184951400305;EnglandFemale;EnglandFemaleAged 50-54;1984889;England Female;England Female Aged 50-54
2020-07-01;Leicester;E06000016;Total;Aged 35-39;2030;7.450088079859072;LeicesterTotal;LeicesterTotalAged 35-39;27248;Leicester Total;Leicester Total Aged 35-39
2020-07-01;Leicester;E06000016;Total;Aged 60-64;955;5.5295003184528975;LeicesterTotal;LeicesterTotalAged 60-64;17271;Leicester Total;Leicester Total Aged 60-64
2020-07-01;Leicester;E06000016;Total;Aged 65+;170;0.39075968279508105;LeicesterTotal;LeicesterTotalAged 65+;43505;Leicester Total;Leicester Total Aged 65+
2020-07-01;Leicester;E06000016;Male;All categories: Age 16+;10255;8.399059763958164;LeicesterMale;LeicesterMaleAll categories: Age 16+;122097;Leicester Male;Leicester Male All categories: Age 16+
2020-07-01;Leicester;E06000016;Male;Aged 50-54;730;6.684369563226811;LeicesterMale;LeicesterMaleAged 50-54;10921;Leicester Male;Leicester Male Aged 50-54
2020-07-01;Leicester;E06000016;Male;Aged 65+;95;0.47530895081803176;LeicesterMale;LeicesterMaleAged 65+;19987;Leicester Male;Leicester Male Aged 65+
2020-07-01;Leicester;E06000016;Female;Aged 25-29;855;6.199695453556667;LeicesterFemale;LeicesterFemaleAged 25-29;13791;Leicester Female;Leicester Female Aged 25-29
2020-07-01;Leicester;E06000016;Female;Aged 45-49;700;6.161971830985916;LeicesterFemale;LeicesterFemaleAged 45-49;11360;Leicester Female;Leicester Female Aged 45-49
2020-07-01;Leicester;E06000016;Female;Aged 55-59;470;4.789076829019768;LeicesterFemale;LeicesterFemaleAged 55-59;9814;Leicester Female;Leicester Female Aged 55-59
2020-07-01;Leicester;E06000016;Female;Aged 60-64;445;5.1648096564531105;LeicesterFemale;LeicesterFemaleAged 60-64;8616;Leicester Female;Leicester Female Aged 60-64
2020-07-01;England;E92000001;Total;Aged 25-29;320335;8.622088815306936;EnglandTotal;EnglandTotalAged 25-29;3715283;England Total;England Total Aged 25-29
2020-07-01;England;E92000001;Total;Aged 40-44;212090;5.923629890018059;EnglandTotal;EnglandTotalAged 40-44;3580406;England Total;England Total Aged 40-44
2020-07-01;England;E92000001;Total;Aged 55-59;167770;4.407612609287224;EnglandTotal;EnglandTotalAged 55-59;3806369;England Total;England Total Aged 55-59
2020-07-01;England;E92000001;Total;Aged 60-64;128725;3.9534729443937002;EnglandTotal;EnglandTotalAged 60-64;3255998;England Total;England Total Aged 60-64
2020-07-01;England;E92000001;Total;Aged 65+;19785;0.19021647952512122;EnglandTotal;EnglandTotalAged 65+;10401307;England Total;England Total Aged 65+
2020-07-01;England;E92000001;Male;Aged 25-29;197750;10.877882226228046;EnglandMale;EnglandMaleAged 25-29;1817909;England Male;England Male Aged 25-29
2020-07-01;England;E92000001;Male;Aged 35-39;151375;8.218393456774372;EnglandMale;EnglandMaleAged 35-39;1841905;England Male;England Male Aged 35-39
2020-07-01;England;E92000001;Male;Aged 60-64;75345;4.703298020363792;EnglandMale;EnglandMaleAged 60-64;1601961;England Male;England Male Aged 60-64
2020-07-01;England;E92000001;Female;Aged 16-24;174515;5.903495448441036;EnglandFemale;EnglandFemaleAged 16-24;2956130;England Female;England Female Aged 16-24
2020-07-01;England;E92000001;Female;Aged 25-29;122580;6.460508049546373;EnglandFemale;EnglandFemaleAged 25-29;1897374;England Female;England Female Aged 25-29
2020-07-01;England;E92000001;Female;Aged 45-49;84995;4.65586989090929;EnglandFemale;EnglandFemaleAged 45-49;1825545;England Female;England Female Aged 45-49
2020-07-01;England;E92000001;Female;Aged 65+;8285;0.14688166762548985;EnglandFemale;EnglandFemaleAged 65+;5640595;England Female;England Female Aged 65+
